configure: size variance = 0.800000,1.200000
configure: width variance = 0.800000,1.600000
configure: angle variance = 0.000000,360.000000
tree: Dream Palm 1_LOD2.bin; pos=4995.32, 5.18, -4258.35; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4776.17, 4.29, -4134.87; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4773.59, 4.21, -4133.31; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4770.52, 3.97, -4131.54; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4767.58, 4.32, -4129.62; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4763.80, 4.13, -4126.80; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4765.86, 4.32, -4127.78; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4762.39, 4.19, -4125.24; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4758.79, 4.23, -4124.36; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4755.92, 4.13, -4120.74; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4751.98, 4.30, -4119.93; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4748.97, 4.33, -4116.12; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4744.49, 4.35, -4113.26; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4740.16, 4.23, -4111.69; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4737.73, 4.25, -4109.48; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4730.22, 4.32, -4104.08; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4725.57, 4.32, -4101.56; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4724.57, 4.27, -4099.96; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4721.39, 4.29, -4098.17; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4716.92, 4.29, -4096.49; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4714.68, 4.32, -4093.90; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4711.59, 4.44, -4091.93; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4706.16, 4.41, -4089.32; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4703.54, 4.33, -4086.01; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4700.37, 4.44, -4084.65; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4696.70, 4.22, -4082.03; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4690.30, 4.38, -4078.69; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4689.51, 4.53, -4077.04; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4686.35, 4.38, -4076.09; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4684.40, 4.43, -4073.60; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4681.28, 4.46, -4071.91; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4679.65, 4.47, -4071.53; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4677.35, 4.57, -4069.74; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4674.76, 4.52, -4068.82; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4670.99, 4.49, -4064.44; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4666.95, 4.64, -4063.75; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4665.06, 4.56, -4061.23; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4662.39, 4.68, -4061.13; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4696.59, 4.09, -4043.67; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4692.14, 4.43, -4040.79; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4690.00, 4.54, -4039.09; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4686.26, 4.41, -4036.69; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4685.11, 4.50, -4035.69; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4681.69, 4.50, -4033.02; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4678.19, 4.55, -4030.44; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4692.65, 4.14, -4026.91; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4695.44, 4.42, -4024.40; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4689.48, 4.45, -4020.18; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4688.45, 4.45, -4020.32; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4466.80, 4.39, -3936.09; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4463.48, 4.79, -3937.47; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4455.36, 4.80, -3924.63; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4346.16, 4.72, -3858.09; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4336.50, 4.77, -3851.32; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4333.53, 4.68, -3852.03; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4315.68, 4.77, -3837.43; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4300.31, 4.68, -3826.16; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4346.28, 4.81, -3806.98; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4227.02, 4.87, -3769.72; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4222.58, 5.00, -3766.81; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4218.32, 4.88, -3764.43; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4227.19, 4.66, -3727.74; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4211.30, 4.53, -3707.85; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4204.30, 4.90, -3704.78; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4202.79, 4.87, -3705.99; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4169.31, 4.91, -3732.68; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=3961.64, 6.93, -3574.77; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=3956.38, 7.01, -3571.58; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=3954.31, 7.08, -3570.33; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=3951.97, 7.23, -3568.90; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=3949.52, 7.29, -3567.17; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=3942.04, 6.42, -3530.64; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=3931.17, 6.30, -3520.94; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=3834.91, 7.44, -3454.49; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=3819.96, 4.21, -3440.20; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=3814.39, 4.21, -3435.80; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=3552.79, 5.49, -3276.12; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=3525.49, 5.59, -3309.97; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=3152.34, 4.36, -3000.94; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=3102.56, 4.30, -3040.74; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=3089.51, 4.40, -3032.37; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=3086.05, 4.34, -3029.94; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=3082.80, 4.27, -2957.52; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2678.88, -1.84, -2698.98; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2685.40, -1.89, -2752.87; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2569.67, -1.77, -2619.97; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2558.69, -1.67, -2609.52; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2553.49, -1.50, -2604.90; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=2532.46, -2.31, -2588.59; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=2518.45, -1.37, -2577.16; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2513.25, -1.38, -2573.52; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2483.44, -1.42, -2549.36; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2479.88, -1.25, -2545.99; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2475.48, -1.32, -2541.91; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2465.72, -1.23, -2533.80; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2462.87, -1.23, -2530.94; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2458.49, -1.24, -2527.57; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2452.67, -1.37, -2522.83; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2444.71, -1.30, -2515.38; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2441.89, -1.14, -2513.04; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2438.70, -1.36, -2510.26; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2435.35, -1.18, -2507.12; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=2430.72, -1.22, -2503.47; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2426.93, -1.24, -2500.47; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2418.93, -0.01, -2556.73; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2420.42, -0.10, -2558.93; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2408.73, -0.03, -2545.93; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2406.07, -0.31, -2541.64; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2401.61, -0.61, -2535.60; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2419.87, -1.16, -2539.06; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=2422.15, -1.39, -2541.79; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2425.26, -1.25, -2545.29; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2429.89, -1.28, -2549.12; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2433.69, -1.31, -2552.38; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=2436.30, -1.22, -2554.54; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2438.83, -1.22, -2558.46; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=2442.15, -1.38, -2559.93; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2443.31, -1.32, -2564.01; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2307.01, -1.48, -2419.42; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2304.03, -1.34, -2416.86; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2301.27, -1.22, -2414.45; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2297.24, -1.18, -2410.90; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2295.05, -1.35, -2409.31; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=2292.61, -1.20, -2407.06; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=2290.07, -1.24, -2404.69; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2284.56, -1.17, -2400.18; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2281.57, -1.22, -2397.37; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=2278.21, -1.32, -2394.62; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2275.71, -1.25, -2392.38; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2273.41, -1.27, -2390.55; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2270.54, -1.12, -2387.86; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=2266.26, -1.33, -2384.32; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2263.35, -1.33, -2381.55; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2262.68, -1.12, -2381.02; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2257.98, 0.66, -2350.75; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=2255.72, 1.06, -2349.07; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=2252.67, 1.32, -2346.70; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2246.57, 1.93, -2341.81; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2212.57, 5.11, -2315.49; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=2209.96, 4.87, -2312.47; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=2211.06, 5.35, -2308.19; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=2208.02, 5.20, -2305.66; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1191.38, -5.74, -1436.28; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=1197.74, -4.89, -1441.74; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=1190.58, -8.43, -1456.35; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=1121.37, -6.34, -1422.62; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=1127.90, -6.59, -1427.67; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=1128.15, -6.20, -1373.58; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=1124.07, -6.15, -1369.20; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=1114.89, -6.01, -1359.68; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=1106.76, -5.59, -1351.26; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=1050.15, -3.30, -1319.39; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1041.59, -2.84, -1308.05; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=1038.60, -3.46, -1304.56; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1024.49, -2.89, -1283.30; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=1020.01, -2.03, -1276.38; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=1017.85, -2.14, -1273.25; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=1015.00, -1.98, -1268.41; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1013.06, -2.05, -1265.61; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=1010.08, -1.92, -1259.70; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=1028.44, -2.18, -1259.65; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1026.74, -2.10, -1256.87; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1023.32, -2.07, -1251.07; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=1018.00, -1.99, -1241.47; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=1002.53, -1.75, -1245.96; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=964.41, -1.98, -1033.20; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=940.13, -1.44, -1064.15; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=939.79, -1.39, -1060.98; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=938.98, -1.36, -1055.27; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=938.14, -1.41, -1050.80; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=911.65, 6.12, -271.03; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=912.11, 5.86, 14.35; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=929.13, 4.38, 374.85; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=929.04, 5.29, 532.64; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=929.10, 5.22, 524.68; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=929.02, 5.42, 514.43; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=929.09, 5.30, 504.67; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=928.75, 5.49, 498.18; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=928.65, 5.25, 491.62; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=928.76, 5.27, 472.48; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=929.16, 5.28, 466.50; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=929.12, 5.26, 457.58; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=929.07, 5.28, 446.03; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=928.97, 5.20, 438.19; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=927.60, 6.77, 1139.20; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=927.38, 7.27, 1170.74; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=944.99, 7.83, 1251.24; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=1099.76, 5.76, 2044.91; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=1097.80, 5.64, 2033.31; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=1095.37, 6.03, 2021.74; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=1084.71, 11.01, 2068.53; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=1101.78, 12.56, 2131.04; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=1245.46, 17.41, 2651.30; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=1250.70, 16.59, 2670.11; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1280.99, 12.27, 2710.79; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=1332.05, 7.23, 2952.48; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=1431.89, 6.33, 3092.47; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1437.42, 6.28, 3099.74; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=1440.06, 6.02, 3104.50; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=1452.77, 6.69, 3118.82; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=1574.21, 5.27, 3222.50; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=3047.81, -4.31, 4101.81; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=3055.27, -4.01, 4108.14; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=3063.94, -4.04, 4114.96; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=3069.14, -3.96, 4119.32; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=3100.52, -2.84, 4145.50; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=3476.67, 1.61, 4581.32; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=3485.04, 1.67, 4594.82; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=3464.97, 1.48, 4591.60; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=3454.62, 1.61, 4575.74; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=3432.87, 1.51, 4541.94; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=3388.09, 0.67, 4473.57; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=3763.54, 3.32, 5059.75; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=3769.55, 3.07, 5068.53; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=3890.35, 2.76, 5257.27; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=3926.46, 2.24, 5314.95; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=3963.66, 2.37, 5372.55; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=3968.50, 2.12, 5380.28; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4031.21, 2.02, 5478.07; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4025.96, 1.81, 5469.73; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4020.66, 2.03, 5461.50; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4014.97, 2.18, 5452.49; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4006.97, 1.92, 5440.50; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4001.07, 1.91, 5430.81; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4179.33, 1.12, 5710.41; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4190.06, 0.97, 5726.47; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4197.73, 1.15, 5738.59; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4210.23, 0.94, 5758.64; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4225.27, 1.17, 5782.28; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4235.59, 0.98, 5798.58; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4240.77, 1.51, 5806.32; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4245.36, 1.17, 5813.69; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4362.46, 1.74, 5996.75; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4366.66, 1.84, 6003.74; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4372.01, 1.46, 6012.57; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4385.22, 1.97, 6034.89; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4393.79, 1.98, 6049.02; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4579.01, 1.54, 6455.55; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4074.64, -7.08, 8570.67; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4056.44, -7.34, 8596.04; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4056.25, -6.87, 8642.59; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=3937.07, -6.72, 8740.07; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=3914.64, -6.81, 8797.74; angle = 0; size = 1.0
